Autor principal,Año,Título,Estrategia / Tipo,Categoría,Fuente / Enlace,Resultados clave,Metricas,Datasets,
Kirkpatrick,2017,Overcoming Catastrophic Forgetting in Neural Networks,EWC,Regularización,https://arxiv.org/abs/1612.00796,Penaliza cambios en pesos importantes usando Fisher Information.,"Accuracy, Forgetting","Permuted MNIST, Split MNIST",
Zenke,2017,Continual Learning through Synaptic Intelligence,SI,Regularización,https://arxiv.org/abs/1703.04200,Asigna importancia dinámica a pesos según su contribución al desempeño previo.,"Accuracy, Task performance","Permuted MNIST, Split MNIST",
Aljundi,2018,Memory Aware Synapses,MAS,Regularización,https://arxiv.org/abs/1711.09601,"Evalúa sensibilidad de salida para regularizar parámetros relevantes.,,Aprendizaje incremental sin etiquetas de tarea.","Accuracy, Forgetting","Split MNIST, Permuted MNIST",
Li & Hoiem,2016,Learning without Forgetting,LwF,Regularización,https://arxiv.org/abs/1606.09282,"Top-,Usa distillation para preservar salidas antiguas mientras entrena nuevas tareas.","Average Accuracy, Backward Transfer","CIFAR-100, ImageNet",
Ke - HU,2022,Embedding Bayesian Latent Learning,EBLL,Regularización,https://arxiv.org/pdf/2401.13766v1,Modela representaciones latentes bayesianas para estabilidad y plasticidad,"Accuracy, Perplexity","GLUE, XSum, CoNLL-2003",
Schwarz,2018,Progress & Compress,EWC + Distillation,Regularización,https://arxiv.org/abs/1805.06370,Combina distillation con EWC para aprendizaje secuencial eficiente.,"Accuracy, Average Retained Accuracy","Split MNIST, Permuted MNIST",
Lee,2017,Overcoming Catastrophic Forgetting via Fisher Information,EWC Variant,Regularización,https://arxiv.org/pdf/1703.08475,Propone cálculo mejorado del Fisher para estabilidad inter-tareas.,Accuracy,"CIFAR-10, CIFAR-100",
Boley,2019,Random Walk Fundamental Tensor and Graph Importance Measures,RWalk,Regularización,https://www-users.cse.umn.edu/~boley/publications/papers/BSMDMA2019.pdf,Propone un tensor fundamental para calcular medidas de importancia en grafos dirigidos de forma eficiente y escalable.,"Centrality, Betweenness, Hitting Time","Synthetic Graphs, Scale-Free Networks",
Dhar,2019,Learning without Memorizing,LwMem,Regularización,https://arxiv.org/abs/1811.08051,Regularización ligera para tareas sucesivas sin almacenar ejemplos.,"Accuracy, Forgetting","CIFAR-100, ImageNet",
Tyulmankov,2024,Computational models of learning and synaptic plasticity,ESL,Regularización,https://arxiv.org/pdf/2412.05501,Desarrolla aprendizaje continuo para NLP que conserva conocimiento previo y se adapta a nuevos dominios lingüísticos.,Accuracy,Split MNIST,
Cha et al.,2022,Co2L: Contrastive Continual Learning,Contrastive Representation Regularization,Regularization,https://arxiv.org/abs/2106.14413,Contraste positivo/negativo; reduce interferencia.,"ACC, Forgetting %",CIFAR-100,
Douillard et al.,2020,PODNet,Distillation sobre representaciones intermedias,Regularization,https://arxiv.org/abs/2004.13513,,"Top-1 Acc, _old",CIFAR-100,
Ni et al,2023,Elastic Information Bottleneck for Continual Learning (ELI),Regularization (Information Bottleneck),Regularization,https://arxiv.org/abs/2311.03955,Minimiza pérdida de información irrelevante mediante compresión adaptativa.,ACC; BWT,CIFAR-100; ImageNet,
Huseljic et al.,2024,Efficient Bayesian Updates for Deep Learning via Laplace Approximations,Variational Bayesian Regularization,Regularization,https://arxiv.org/abs/2210.06112,Inferencia bayesiana eficiente que evita olvido catastrófico.,"ACC, BWT","Synthetic, MNIST",
Gomez-Villa et al.,2024,Exemplar-free Continual Representation Learning via Learnable Drift Compensation,Memory-free Regularization,Regularization,https://arxiv.org/abs/2407.08536,Sin replay; imprime memoria distribuida a nivel de capas.,"ACC, BWT",CIFAR-100,
Yildiz et al.,2025,Investigating Continual Pretraining in Large Language Models: Insights and Implications,Distillation + Data Augmentation,Regularization,https://arxiv.org/abs/2402.17400,Integra distillation adaptativa con aumento de datos dinámico; +6 % retención.,ACC; BWT,CIFAR-100,
